outlier_index
7985
1521
4975
11004
12082
14887
12667
14084
2763
3632
3186
639
12415
10049
9095
297
6700
14590
15102
2600
2406
3813
3611
15424
2449
11238
11031
6251
13437
10468
12683
4260
1453
2220
2456
1979
11709
1156
540
6803
9133
10345
15122
14066
1700
6755
11044
3439
13324
4825
10981
7146
2818
4727
12178
6851
11572
7000
4973
5131
11461
6170
14481
13737
13778
12559
16164
6917
7810
16505
11145
9821
14993
8271
14717
14212
8788
13189
8347
3717
15254
9871
12929
15021
4923
165
3112
2744
6396
5330
9673
15104
3193
11825
12491
7687
5776
10650
15154
5815
379
1970
11497
1092
10738
437
8634
11698
5915
7047
13680
2738
1094
6869
8463
10772
7653
8638
3657
11851
6412
5293
4210
11954
10713
12145
10962
3553
364
11460
9071
2566
16311
5269
12532
190
121
3861
16282
15813
7354
2046
5242
11032
9682
12466
2955
7770
13163
9585
10492
13246
7235
12731
14003
13622
15996
3875
12629
8927
11452
5999
11692
5055
16065
3246
9627
9640
15004
10754
11405
13567
10488
13282
14939
8411
172
2376
6023
12660
4194
4034
9307
12304
10269
2756
9055
4042
10217
11559
10182
13962
2518
6209
12384
3844
10740
9729
14382
2490
16100
3725
15574
525
15043
14098
7461
15894
5129
13656
5019
3188
9015
6420
9341
12459
3952
13053
14620
748
5297
1069
14772
5526
5865
2236
13744
5034
2427
2924
13373
10608
8372
8068
10852
9742
5177
1077
10187
7551
4706
15951
16532
15327
7740
2018
15492
4129
10160
13556
6911
9859
11875
15766
2770
3498
1550
16623
556
12730
12689
1487
412
6414
2747
13620
10631
6140
1159
2276
12203
7449
9192
1990
7083
15412
2377
8864
10363
10826
7214
9387
7433
14235
5441
14076
9700
16416
1161
4011
1540
10264
15487
3558
6275
11105
267
6110
5321
420
2012
2332
4654
4774
7469
14294
12273
9846
7922
8441
14964
8124
5782
250
844
10397
9967
13287
4598
1286
2503
6074
7406
9534
423
3570
7934
11470
13687
3035
2864
10365
128
16388
15380
13765
15432
2150
6469
7456
16609
16595
11331
7719
9500
7821
8327
6460
11252
2991
8995
13565
4233
10403
6331
10890
8151
15394
193
1531
10478
8276
7704
15183
7361
6998
9086
156
6430
14179
7771
14658
15078
10018
1592
13022
16098
1329
7163
1065
8578
6996
7420
13451
14113
9215
8866
4590
16397
13588
4009
10920
14630
13605
12254
5567
8584
6304
15744
10513
6092
2460
14472
514
9799
2198
6282
4056
16518
723
13980
6720
14599
10333
14503
15730
362
9703
12794
2812
2295
3938
10765
13768
6942
14764
6105
12709
14324
6474
1833
294
16409
4865
9906
7270
12975
13572
7373
13978
9583
10773
10991
10094
2817
5429
15120
15171
3761
10115
6912
16007
9188
11314
13847
3288
3506
1018
4932
411
10643
8536
11363
11891
14392
16271
1736
15015
8143
13841
10894
7329
16451
16033
15458
637
1184
5750
9294
8203
11425
1899
2887
4497
6862
4647
12060
11553
1144
3296
14678
14097
3026
6278
13965
14241
5677
7755
